no;year;CADFtest;employmt;gnpdefl;nomgnp;interest;indprod;gnpperca;realgnp;wages;realwag;sp500;unemploy;velocity;M
1;1860;3.2958369;NA;NA;NA;NA;-0.10536052;NA;NA;NA;NA;NA;NA;NA;NA
2;1861;3.2958369;NA;NA;NA;NA;-0.10536052;NA;NA;NA;NA;NA;NA;NA;NA
3;1862;3.4011974;NA;NA;NA;NA;-0.10536052;NA;NA;NA;NA;NA;NA;NA;NA
4;1863;3.6109179;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA
5;1864;3.871201;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA
6;1865;3.8501476;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA
7;1866;3.7841896;NA;NA;NA;NA;0.18232156;NA;NA;NA;NA;NA;NA;NA;NA
8;1867;3.7612001;NA;NA;NA;NA;0.26236426;NA;NA;NA;NA;NA;NA;NA;NA
9;1868;3.7135721;NA;NA;NA;NA;0.26236426;NA;NA;NA;NA;NA;NA;NA;NA
10;1869;3.6888795;NA;NA;NA;NA;0.33647224;NA;NA;NA;NA;NA;NA;1.7245507;NA
11;1870;3.6375862;NA;NA;NA;NA;0.40546511;NA;NA;NA;NA;NA;NA;1.6409366;NA
12;1871;3.6109179;NA;NA;NA;NA;0.40546511;NA;NA;NA;NA;1.5454326;NA;1.5325569;NA
13;1872;3.6109179;NA;NA;NA;NA;0.58778666;NA;NA;NA;NA;1.61542;NA;1.6193882;NA
14;1873;3.6109179;NA;NA;NA;NA;0.58778666;NA;NA;NA;NA;1.5686159;NA;1.5993876;NA
15;1874;3.5553481;NA;NA;NA;NA;0.53062825;NA;NA;NA;NA;1.5195132;NA;1.5496879;NA
16;1875;3.4965076;NA;NA;NA;NA;0.53062825;NA;NA;NA;NA;1.4929041;NA;1.4951488;NA
17;1876;3.4657359;NA;NA;NA;NA;0.53062825;NA;NA;NA;NA;1.401183;NA;1.5368672;NA
18;1877;3.4657359;NA;NA;NA;NA;0.58778666;NA;NA;NA;NA;1.1442228;NA;1.5871923;NA
19;1878;3.4011974;NA;NA;NA;NA;0.64185389;NA;NA;NA;NA;1.2178757;NA;1.6213665;NA
20;1879;3.3672958;NA;NA;NA;NA;0.78845736;NA;NA;NA;NA;1.4158532;NA;1.6292405;NA
21;1880;3.4011974;NA;NA;NA;NA;0.91629073;NA;NA;NA;NA;1.6505799;NA;1.6695918;NA
22;1881;3.4011974;NA;NA;NA;NA;1.0296194;NA;NA;NA;NA;1.8325815;NA;1.4838747;NA
23;1882;3.4011974;NA;NA;NA;NA;1.0986123;NA;NA;NA;NA;1.7749524;NA;1.4838747;NA
24;1883;3.3672958;NA;NA;NA;NA;1.0986123;NA;NA;NA;NA;1.7281094;NA;1.3887912;NA
25;1884;3.3322045;NA;NA;NA;NA;1.0647107;NA;NA;NA;NA;1.5539252;NA;1.3584092;NA
26;1885;3.3322045;NA;NA;NA;NA;1.0647107;NA;NA;NA;NA;1.5260563;NA;1.2612979;NA
27;1886;3.3322045;NA;NA;NA;NA;1.252763;NA;NA;NA;NA;1.678964;NA;1.2178757;NA
28;1887;3.3322045;NA;NA;NA;NA;1.3083328;NA;NA;NA;NA;1.7101878;NA;1.1908876;NA
29;1888;3.3322045;NA;NA;NA;NA;1.3350011;NA;NA;NA;NA;1.6486586;NA;1.1474025;NA
30;1889;3.3322045;NA;3.254243;NA;NA;1.410987;NA;NA;NA;NA;1.6714733;NA;1.1249296;1.2809338
31;1890;3.3322045;10.024687;3.2347492;NA;NA;1.4816045;NA;NA;NA;NA;1.6620304;1.3862944;1.0986123;1.3660917
32;1891;3.3322045;10.034165;3.2148678;NA;NA;1.5040774;NA;NA;NA;NA;1.61542;1.686399;1.0851893;1.406097
33;1892;3.3322045;10.082972;3.1780538;NA;NA;1.5686159;NA;NA;NA;NA;1.7137979;1.0986123;1.0508216;1.4883996
34;1893;3.3322045;10.013283;3.1986731;NA;NA;1.458615;NA;NA;NA;NA;1.5644405;2.4595888;1.0750024;1.4492692
35;1894;3.2580965;9.9571231;3.1354942;NA;NA;1.4350845;NA;NA;NA;NA;1.4793292;2.9123507;0.9439059;1.453953
36;1895;3.2188758;10.035568;3.1223649;NA;NA;1.5892352;NA;NA;NA;NA;1.5107219;2.6173958;1.0043016;1.4883996
37;1896;3.2188758;10.048843;3.0955776;NA;NA;1.5260563;NA;NA;NA;NA;1.442202;2.6672282;0.96698385;1.4701758
38;1897;3.2188758;10.069171;3.1000923;NA;NA;1.5892352;NA;NA;NA;NA;1.4929041;2.6741486;1.0006319;1.5347144
39;1898;3.2188758;10.116419;3.1311369;NA;NA;1.7227666;NA;NA;NA;NA;1.6193882;2.5176965;0.92028275;1.660131
40;1899;3.2188758;10.20029;3.1612467;NA;NA;1.8082888;NA;NA;NA;NA;1.8389611;1.8718022;0.91228271;1.8066481
41;1900;3.2188758;10.236704;3.2068032;NA;3.3;1.8405496;NA;NA;6.1882641;2.9693883;1.8164521;1.6094379;0.91228271;1.8870696
42;1901;3.2188758;10.272358;3.1986731;NA;3.25;1.9600948;NA;NA;6.2363696;3.0174938;2.0592388;1.3862944;0.89199804;2.0122328
43;1902;3.2580965;10.302264;3.2347492;NA;3.3;2.0668628;NA;NA;6.2859981;3.0277153;2.1306098;1.3083328;0.83724752;2.1004689
44;1903;3.2958369;10.325679;3.246491;NA;3.45;2.0918641;NA;NA;6.3062753;3.0106209;1.975469;1.3609766;0.82855182;2.1610215
45;1904;3.2958369;10.334328;3.2580965;NA;3.6;2.0541237;NA;NA;6.2878586;2.9922261;1.9530276;1.686399;0.76080583;2.2235419
46;1905;3.2958369;10.372741;3.2771447;NA;3.5;2.2192035;NA;NA;6.3297209;3.033991;2.1961128;1.458615;0.75612198;2.3263016
47;1906;3.3322045;10.426706;3.303217;NA;3.55;2.2823824;NA;NA;6.3578423;3.0257764;2.2659211;0.53062825;0.82417544;2.4051417
48;1907;3.3672958;10.444968;3.3428618;NA;3.8;2.3025851;NA;NA;6.3935908;3.0262615;2.0592388;1.0296194;0.82417544;2.4510051
49;1908;3.3322045;10.41169;3.3357696;NA;3.95;2.1400662;NA;NA;6.3062753;2.9739978;2.0515563;2.0794415;0.72270598;2.437116
50;1909;3.3322045;10.465158;3.3707382;10.416311;3.77;2.3025851;7.1631724;4.7604631;6.3952616;3.0629235;2.2731563;1.6292405;0.78390154;2.5400259
51;1910;3.3672958;10.484641;3.3978585;10.471638;3.8;2.360854;7.1701195;4.7883247;6.4785096;3.1112906;2.2353763;1.7749524;0.77472717;2.590767
52;1911;3.3672958;10.496234;3.391147;10.485703;3.9;2.3223877;7.179308;4.8138091;6.4488894;3.0814511;2.2235419;1.9021075;0.72754861;2.6475922
53;1912;3.4011974;10.530308;3.4307562;10.581521;3.9;2.4595888;7.219642;4.8690717;6.4785096;3.0773123;2.2544447;1.5260563;0.75141609;2.7166795
54;1913;3.391147;10.553153;3.4372078;10.586584;4;2.5257286;7.2086003;4.8782461;6.5352413;3.1441523;2.1412419;1.458615;0.76546784;2.7555697
55;1914;3.4045252;10.533668;3.4468079;10.561008;4.1;2.4595888;7.1444072;4.8331023;6.5453497;3.140698;2.0893919;2.0668628;0.63127178;2.7966714
56;1915;3.4144426;10.53239;3.4812401;10.596635;4.15;2.6100698;7.1212525;4.8243057;6.4937538;3.0791539;2.1174596;2.1400662;0.62593843;2.8673306
57;1916;3.4873751;10.580607;3.5973123;10.785187;4.05;2.7788193;7.1831117;4.9000761;6.6214057;3.134189;2.2481289;1.6292405;0.73716407;3.0373539
58;1917;3.6480575;10.598733;3.8066625;11.008744;4.05;2.7850112;7.1770188;4.9067552;6.7833252;3.1350593;2.1400662;1.5260563;0.76546784;3.1933529
59;1918;3.8088822;10.662235;3.9627161;11.243738;4.75;2.7725887;7.2936977;5.0225639;7.0094089;3.2007119;2.0202222;0.33647224;0.90421815;3.2857865
60;1919;3.9473901;10.643948;3.9852735;11.338572;4.75;2.6461748;7.2449415;4.9863426;7.1647204;3.2172745;2.1724764;0.33647224;0.81093022;3.4343097
61;1920;4.0943446;10.616413;4.1157798;11.424094;5.1;2.6946272;7.1815919;4.9416424;7.3343294;3.2398542;2.0769384;1.6486586;0.77932488;3.5496174
62;1921;3.9815491;10.560178;3.9550825;11.15052;5.17;2.4336134;7.0707241;4.8504665;7.2413663;3.2596338;1.9257074;2.4595888;0.63127178;3.4919517
63;1922;3.916015;10.62459;3.9019727;11.213171;4.71;2.6741486;7.2041493;4.9972123;7.1569564;3.2410286;2.1294215;1.9021075;0.62593843;3.5180911
64;1923;3.9337845;10.690922;3.9259259;11.351582;4.61;2.8507065;7.3011478;5.1113852;7.2463681;3.3127304;2.1482677;0.87546874;0.70309751;3.6000482
65;1924;3.9357395;10.682973;3.914021;11.346871;4.66;2.7850112;7.2793188;5.1089712;7.2633296;3.3275508;2.2027648;1.6094379;0.66782937;3.652734
66;1925;3.9608132;10.716238;3.9318256;11.441429;4.5;2.8791985;7.3453648;5.1896179;7.2793188;3.3185401;2.4114395;1.1631508;0.62593843;3.7388594
67;1926;3.9702919;10.746433;3.9357395;11.482466;4.4;2.9391619;7.3889461;5.2470241;7.297091;3.326833;2.5329028;0.58778666;0.66268797;3.7768903
68;1927;3.9512437;10.747122;3.912023;11.460579;4.3;2.9391619;7.3740019;5.2459709;7.3145528;3.3631493;2.7304638;1.1939225;0.62057649;3.8006444
69;1928;3.9376908;10.753083;3.9199912;11.482466;4.05;2.9755296;7.3677086;5.2517497;7.335634;3.3978585;2.9932291;1.4350845;0.60431597;3.8377304
70;1929;3.9376908;10.776662;3.9239516;11.543406;4.42;3.08191;7.4211775;5.3161573;7.3414839;3.4038605;3.2588655;1.1631508;0.66268797;3.8416005
71;1930;3.912023;10.730728;3.8979241;11.411634;4.4;2.8959119;7.3065314;5.2122147;7.3051882;3.3931652;3.04595;2.163323;0.51879379;3.8227545
72;1931;3.8199077;10.661017;3.8022081;11.236117;4.1;2.7080502;7.2181768;5.1316723;7.2218358;3.4018638;2.6144719;2.7663191;0.37156356;3.7539647
73;1932;3.7111301;10.576177;3.693867;10.969043;4.7;2.4595888;7.0509894;4.9712012;7.0475172;3.3364811;1.9358598;3.1612467;0.21511138;3.5849069
74;1933;3.6584202;10.571573;3.6712245;10.925956;4.15;2.6246686;7.0264268;4.9522997;6.9902565;3.3318473;2.1927702;3.2148678;0.27763174;3.4725874
75;1934;3.6913763;10.624979;3.7424202;11.082973;3.99;2.7146947;7.1066061;5.0388988;7.0501225;3.3586378;2.2864557;3.0773123;0.3852624;3.5368931
76;1935;3.7160081;10.657965;3.7518543;11.187846;3.5;2.8564702;7.1936858;5.1328529;7.1033221;3.3874365;2.360854;3.0007198;0.39877612;3.6653549
77;1936;3.7256934;10.707952;3.7541989;11.320323;3.2;3.0252911;7.3172124;5.2626902;7.1600692;3.4343097;2.7389027;2.8273136;0.45107562;3.7723011
78;1937;3.7612001;10.749785;3.7954892;11.412508;3.08;3.1135153;7.3626453;5.3141907;7.226936;3.4657359;2.7350166;2.6602595;0.49469624;3.8216606
79;1938;3.7424202;10.704592;3.7819143;11.346517;3;2.8791985;7.3024964;5.2621719;7.1670379;3.4245883;2.4414771;2.944439;0.41210965;3.8179321
80;1939;3.7281002;10.739002;3.7658405;11.413039;2.75;3.08191;7.3765081;5.3442463;7.2174434;3.4892083;2.4898942;2.8449094;0.40546511;3.8973154
81;1940;3.7376696;10.780206;3.7819143;11.5097;2.7;3.2386785;7.4500796;5.4258307;7.2668273;3.5292974;2.3997118;2.6810215;0.39204209;4.010963
82;1941;3.7864598;10.858422;3.8543939;11.732382;2.65;3.4594663;7.5893358;5.5748121;7.4103471;3.6238075;2.2844211;2.2925348;0.45742485;4.1353265
83;1942;3.8877303;10.963359;3.9702919;11.969781;2.65;3.6000482;7.6998424;5.6964221;7.6123368;3.7244879;2.1598688;1.5475625;0.5988365;4.2649309
84;1943;3.9473901;11.058638;4.0395363;12.163123;2.65;3.7999735;7.8099471;5.8203796;7.761745;3.8144102;2.442347;0.64185389;0.55961579;4.4988092
85;1944;3.9646155;11.087819;4.0638854;12.255358;2.6;3.8774316;7.8674886;5.8897086;7.830823;3.8661885;2.5233258;0.18232156;0.47623418;4.6709579
86;1945;3.9871305;11.070693;4.089332;12.264082;2.55;3.7208625;7.8391316;5.872681;7.830823;3.8437442;2.7186604;0.64185389;0.31481074;4.8410325
87;1946;4.0690268;10.980195;4.200205;12.247737;2.43;3.5610461;7.7012002;5.7449244;7.830823;3.7618975;2.8379082;1.3609766;0.14842001;4.9323133
88;1947;4.203199;10.979002;4.3121405;12.35157;2.5;3.6737658;7.6732231;5.7362497;7.9348716;3.7316995;2.7193198;1.3609766;0.18232156;4.9836066
89;1948;4.278054;10.998811;4.3770141;12.459016;2.8;3.7135721;7.6998424;5.7798172;8.0189547;3.7409974;2.7427736;1.3350011;0.28517894;4.9978877
90;1949;4.2682979;10.989791;4.3707129;12.454822;2.74;3.6584202;7.6834037;5.7810521;8.0375432;3.7693067;2.7232672;1.7749524;0.26236426;4.9938282
91;1950;4.278054;11.011555;4.3845235;12.559434;2.58;3.8044378;7.7587605;5.8729625;8.1022836;3.8242841;2.9123507;1.6677068;0.3435897;5.0159545
92;1951;4.3541414;11.051874;4.4496853;12.702;2.67;3.885679;7.8180279;5.9490788;8.1909089;3.8368683;3.1063788;1.1939225;0.45107562;5.0524168
93;1952;4.375757;11.064229;4.4716388;12.752742;3;3.9239516;7.830823;5.9791389;8.2511421;3.875359;3.1986731;1.0986123;0.44468582;5.1053392
94;1953;4.3832759;11.077918;4.4807401;12.806537;3.15;4.0036902;7.8582542;6.0229632;8.3072126;3.9239516;3.2080171;1.0647107;0.45107562;5.1428325
95;1954;4.3882572;11.058165;4.4953553;12.807217;3;3.9473901;7.8264431;6.0088132;8.3243363;3.9361301;3.3908103;1.7047481;0.41210965;5.177279
96;1955;4.3845235;11.085521;4.50976;12.894107;3.04;4.0673159;7.8823149;6.0822189;8.3793095;3.9947084;3.701055;1.4816045;0.46373402;5.213304
97;1956;4.3993753;11.107345;4.5432948;12.946194;3.09;4.1108739;7.8830694;6.1005431;8.4314174;4.0321145;3.8420296;1.410987;0.5068176;5.2305737
98;1957;4.4343819;11.110521;4.5798524;12.997104;3.68;4.1239034;7.8792915;6.1147878;8.4734503;4.039008;3.7927889;1.458615;0.51879379;5.2564532
99;1958;4.4612998;11.092428;4.6051702;13.011061;3.61;4.0569888;7.851272;6.1032295;8.5063344;4.0449792;3.8338452;1.9169226;0.47623418;5.3038023
100;1959;4.4693505;11.115161;4.6210435;13.089144;4.1;4.1697612;7.8965527;6.1652077;8.5604442;4.0911729;4.0496958;1.7047481;0.51879379;5.3475836
101;1960;4.4852599;11.131548;4.6376374;13.129804;4.55;4.1926805;7.9006366;6.1897005;8.5852256;4.0999952;4.0226695;1.7047481;0.54232429;5.3504353
102;1961;4.4953553;11.131929;4.6501436;13.161771;4.22;4.1987046;7.9035963;6.2089924;8.6137753;4.1183866;4.1937373;1.9021075;0.52472853;5.3990673
103;1962;4.5064542;11.149514;4.6615505;13.236272;4.42;4.278054;7.9519114;6.2724996;8.6534708;4.1470951;4.1332447;1.7047481;0.53649337;5.4548937
104;1963;4.5185224;11.163368;4.6746962;13.28873;4.16;4.3372907;7.9765954;6.3117348;8.6860917;4.167595;4.2466364;1.7404662;0.52472853;5.5178544
105;1964;4.5315236;11.185032;4.6895113;13.357293;4.33;4.4042772;8.0159878;6.3649229;8.7316592;4.200205;4.3990067;1.6486586;0.53649337;5.5785971
106;1965;4.5485998;11.209263;4.7086289;13.437005;4.35;4.490881;8.0649509;6.4261648;8.762333;4.2137559;4.4792668;1.5040774;0.54232429;5.6556421
107;1966;4.5767707;11.238725;4.7353209;13.527638;4.75;4.5849675;8.1164171;6.4893569;8.8013189;4.2244952;4.4457054;1.3350011;0.56531381;5.7300998
108;1967;4.6051702;11.262128;4.767289;13.584747;4.95;4.6051702;8.1312365;6.5150089;8.8363739;4.2312037;4.5210274;1.3350011;0.54232429;5.8045324
109;1968;4.6463121;11.282946;4.806477;13.669562;5.93;4.6615505;8.1667843;6.5604647;8.9020473;4.2557545;4.5920849;1.2809338;0.54232429;5.8905386
110;1969;4.6986605;11.307229;4.8535915;13.741966;6.54;4.7068238;8.1822797;6.5857578;8.9586687;4.2600002;4.5833335;1.252763;0.54812141;5.9537627
111;1970;4.7561731;11.312216;4.9074945;13.789296;7.6;4.6700212;8.1650793;6.5792512;9.0057732;4.2496374;4.4214877;1.5892352;0.54812141;5.9947093
112;1971;4.7986642;11.306393;4.9717756;13.913272;6.099;4.6841389;8.1785483;6.6067;9.0528535;4.2541893;4.5879223;1.7749524;0.58079485;6.0990686
113;1972;4.8302586;11.338167;5.0179885;14.008442;5.989;4.7764753;8.2164263;6.6552832;9.135485;4.3052264;4.6931811;1.7227666;0.61094334;6.2168746
114;1973;4.8906017;11.3718;5.0805088;14.12248;6.659;4.8546659;8.2575593;6.705961;9.2086877;4.3180859;4.6768395;1.5892352;0.64323177;6.3114079
115;1974;4.9952863;11.390927;5.1675202;14.202676;7.349;4.8397243;8.2430147;6.700553;9.2689518;4.2736654;4.4170317;1.7227666;0.63370211;6.3706122
116;1975;5.0826357;11.379668;5.2611455;14.284514;7.339;4.7474204;8.2205079;6.687906;9.345106;4.2624703;4.456206;2.1400662;0.62605631;6.4599264
117;1976;5.1386576;11.412221;5.3232569;14.393696;7.139;4.835414;8.2587175;6.7356178;9.4377968;4.2991392;4.6250708;2.0412203;0.64658878;6.5817039
118;1977;5.2016571;11.447565;5.3876964;14.503896;7.419;4.912295;8.294266;6.781224;9.5272178;4.3255607;4.5870062;1.9600948;0.66931558;6.7009965
119;1978;5.2748217;11.489442;5.4579762;14.626307;8.249;4.9752698;8.3352474;6.8328012;9.6124693;4.3376476;4.5645565;1.8082888;0.69706753;6.7828573
120;1979;5.3823272;11.517127;5.5429079;14.735076;9.099;5.0139487;8.3486913;6.8572808;9.6899071;4.30758;4.6348261;1.7578579;0.71243155;6.8622155
121;1980;5.5089477;11.521955;5.629389;14.820544;11.169;4.9947962;8.3350953;6.8556192;9.7590436;4.2500959;4.777273;1.9600948;0.70791578;6.9393739
122;1981;5.6071222;11.53314;5.7218309;14.931504;13.229;5.016655;8.3438697;6.8747935;9.855984;4.2488618;4.8523427;2.0281482;0.74387346;7.0294186
123;1982;5.6669052;11.524795;5.7837063;14.96798;12.589;4.9428242;8.3077558;6.8489768;9.8938128;4.2269076;4.7850722;2.2721259;0.70900627;7.1188699
124;1983;5.6985244;11.537716;5.8219651;15.040961;11.199;5.0003059;8.3331023;6.8840768;9.9634555;4.2649311;5.077733;2.2617631;0.69009857;7.2368443
125;1984;5.7407911;11.577795;5.8578857;15.143169;12.349;5.1062157;8.3893616;6.9496707;10.018269;4.2774775;5.0780447;2.014903;0.71078082;7.3141543
126;1985;5.7757829;11.597781;5.8871651;15.205523;11.109;5.1249841;8.4127477;6.9826227;10.050728;4.2749452;5.2302526;1.974081;0.70686455;7.4003523
127;1986;5.7941996;11.620011;5.9129787;15.258091;8.499;5.1362383;8.4300848;7.0096668;10.075372;4.2811725;5.4652714;1.9459101;0.68820448;7.4803232
128;1987;5.8300457;11.645505;5.9441231;15.324973;8.999;5.1731196;8.456477;7.0455416;10.101049;4.2710033;5.6588897;1.8245493;0.67576289;7.5444435
129;1988;5.870586;11.667165;5.976803;15.400779;9.339;5.2285646;8.4908482;7.0888837;10.130371;4.2597845;5.5827065;1.7047481;0.6678024;7.5945765
